PSRJ lambda beta
J2002+3217 -46.7078 51.241
J2002+4050 -41.0961 59.1885
J2003+2916 -47.8688 48.3063
J2004+2653 -48.3222 45.9159
J2004+3137 -46.1609 50.4162
J2004+3429 -44.6432 53.1271
J2005+3411g -44.5057 52.7722
J2005+3547 -43.7107 54.3112
J2005+3552 -43.4976 54.3528
J2005-0020 -56.41 19.5096
J2006+0148 -55.7024 21.5683
J2006+22 -49.7472 41.1852
J2006+3102 -46.0421 49.7718
J2006+4058 -39.6716 59.0138
J2006-0807 -58.02 11.8863
J2007+0809 -53.8967 27.6996
J2007+0910 -53.4209 28.6377
J2007+20 -50.2474 39.5088
J2007+2722 -47.4148 46.2269
J2007+3120 -45.5808 50.0013
J2008+2513 -47.9255 44.0815
J2008+27 -46.9517 46.6882
J2008+2755g -46.8649 46.6689
J2008+3139 -44.9463 50.1879
J2008+3758 -41.4337 56.1429
J2009+3122g -44.783 49.8429
J2009+3326 -43.6285 51.7799
J2010+2845 -45.928 47.3449
J2010+3051 -44.9183 49.3318
J2010+31 -44.2545 50.2179
J2010+3230 -43.9439 50.8575
J2010-1323 -58.0755 6.4909
J2011+3006g -44.9425 48.5382
J2011+3331 -43.1804 51.7706
J2012-2029 -59.1457 -0.5377
J2013+3058 -43.7677 49.201
J2013+3100g -43.6407 49.1919
J2013+3845 -39.1887 56.4791
J2013-0649 -55.9905 12.7737
J2015+0756 -51.5859 26.9623
J2015+2524 -45.867 43.8068
J2016+1948 -47.5585 38.3274
J2017+0603 -51.7388 25.0445
J2017+2043 -47.0653 39.1807
J2017+2819g -43.9287 46.4164
J2017+3625 -39.2646 53.9539
J2017+5906 -9.2134 72.8976
J2017-0414 -54.4027 15.3074
J2017-1614 -57.0475 3.3486
J2017-2737 -59.6464 -7.098
J2018+2839 -43.5424 46.6932
J2018+3418g -40.4816 51.9648
J2018+3431 -40.1535 52.1181
J2019+2425 -45.0055 42.5654
J2019+72 39.5309 76.7988
J2021+3651 -37.9842 54.1071
J2021+4024g -35.368 57.3362
J2021+4026 -35.2414 57.3547
J2022+21 -45.4748 39.2802
J2022+2534 -44.0343 42.9406
J2022+2854 -42.055 46.5885
J2022+3842 -36.2909 55.7035
J2022+3845g -36.3136 55.7596
J2022+5154 -22.1374 67.128
J2023+2853g -41.8801 46.5031
J2023+5037 -23.7571 66.0047
J2024+48 -27.0766 63.7864
J2027+0255 -49.9354 21.3844
J2027+2146 -43.846 39.492
J2027+4557 -28.3292 61.7565
J2027+7502 51.5269 75.5936
J2028+3332 -37.8355 50.4768
J2029+34 -36.9769 51.4243
J2029+3744 -34.7917 54.2517
J2030+2228 -42.5883 39.9154
J2030+3641 -35.3278 53.2489
J2030+3818g -34.1607 54.7046
J2030+3929g -33.0773 55.7215
J2030+3944g -33.0134 55.9816
J2030+4415 -28.9336 59.9617
J2030+55 -14.7086 68.8383
J2032+4127 -31.0464 57.3696
J2033+0042 -49.0036 18.8514
J2033+1734 -43.7099 35.0629
J2033-1938 -54.1203 -0.8748
J2034+3632 -34.217 52.7786
J2036+2835 -38.0333 45.2107
J2036+6646 18.8643 74.7214
J2037+1942 -41.8451 36.8151
J2037+3621 -33.294 52.3317
J2038+35 -34.0238 51.0479
J2038+5319 -15.2753 66.7975
J2038-3816 -57.9154 -19.1527
J2039-3616 -57.2767 -17.246
J2039-5617 -63.7398 -36.4263
J2040+1657 -42.0542 33.9698
J2040-21 -53.0811 -2.5402
J2042+0246 -46.2025 20.2588
J2043+1711 -41.1315 33.9643
J2043+2740 -36.4823 43.8167
J2043+7045 34.2235 74.9136
J2044+28 -36.2437 44.0908
J2044+4614 -22.5942 60.4083
J2045+0912 -43.2751 26.1762
J2045+3633 -30.9123 51.8701
J2045-68 -68.8233 -48.1834
J2046+1540 -40.7988 32.2768
J2046+5708 -5.9387 68.7267
J2046-0421 -47.2749 13.1409
J2047+1053 -42.3532 27.6775
J2047+5029 -16.6183 63.6383
J2048+2255 -37.2983 38.9568
J2048+4951 -17.1585 63.035
J2048-1616 -49.8818 1.4845
J2050+1259 -40.6218 29.3963
J2051+1248 -40.5421 29.1844
J2051+4434g -22.4136 58.3781
J2051+50 -15.273 63.4038
J2051-0827 -47.1643 8.8463
J2052+1219 -40.3646 28.6363
J2052+4421g -22.2192 58.0636
J2053+1718 -38.2395 33.2773
J2053+4650 -19.3473 60.0867
J2053+4718 -18.8605 60.4878
J2053-7200 -70.0175 -51.5777
J2054-39 -55.1245 -20.6804
J2055+15 -38.2333 31.6625
J2055+2209 -35.7317 37.6927
J2055+2539 -34.0672 40.9581
J2055+3630 -27.8933 50.9206
J2055+3829 -26.561 52.7293
J2057+21 -35.4616 36.8402
J2057+4701 -18.2254 59.9202
J2102+38 -24.9802 51.68
J2105+07 -38.5932 23.5007
J2105+19 -34.387 34.3469
J2105+28 -29.8179 42.7046
J2105+6223 9.9288 70.1088
J2108+4441 -17.5153 56.9135
J2108+4516 -16.931 57.3953
J2108-3429 -50.7679 -17.2493
J2111+2106 -31.8994 35.3925
J2111+40 -20.9303 52.62
J2111+4606 -15.2562 57.8065
J2112+4058 -19.6299 53.2895
J2113+2754 -28.1975 41.5538
J2113+4644 -14.0561 58.134
J2113+67 23.8225 71.3699
J2113+73 44.8457 72.7344
J2115+5448 -3.0584 64.266
J2116+1414 -33.517 28.5764
J2116+3701 -21.7375 49.515
J2122+2426 -27.3912 37.5335
J2123+36 -20.1359 48.2585
J2123+5434 -1.4992 63.2777
J2124+1407 -31.3584 27.7492
J2124-3358 -47.2612 -17.8188
J2127-6648 -62.2419 -48.3
J2129+1210A -30.7984 25.4753
J2129+1210B -30.7969 25.4745
J2129+1210C -30.782 25.4807
J2129+1210D -30.7985 25.4749
J2129+1210E -30.7979 25.4773
J2129+1210F -30.8028 25.4772
J2129+1210G -30.8001 25.4747
J2129+1210H -30.7989 25.4749
J2129+1210I -30.7982 25.4751
J2129+4119 -14.9052 52.0379
J2129-0429 -36.6845 9.7883
J2129-5721 -56.172 -39.9
J2131-31 -44.9407 -15.4357
J2133-0049A -34.5839 12.9538
J2133-0049B -34.5839 12.9538
J2133-0049C -34.5839 12.9538
J2133-0049D -34.5839 12.9538
J2133-0049E -34.5839 12.9538
J2136-1606 -38.9561 -1.711
J2136-5046 -51.5935 -34.3219
J2137+6428 20.1556 68.107
J2138+4911 -4.9902 57.6968
J2138+69 34.056 70.198
J2139+00 -32.5838 13.779
J2139+2242 -23.8519 34.4316
J2139+4716 -6.6752 55.9783
J2139+4738g -6.2861 56.2695
J2140-2310A -40.2944 -8.7368
J2140-2310B -40.2957 -8.7358
J2143+0654 -29.514 19.4186
J2144-3933 -45.3952 -24.4031
J2144-5237 -51.1671 -36.4784
J2145+21 -23.2387 32.3514
J2145-0750 -33.9754 5.3131
J2148-34 -42.4814 -19.4779
J2149+6329 19.8606 66.4121
J2150+5247 2.2477 59.2541
J2150-0326 -31.4998 9.1138
J2151+2315 -20.5237 33.8203
J2154-2812 -39.0322 -14.5335
J2155+2813 -17.0026 37.9754
J2155-3118 -39.9764 -17.5087
J2155-5641 -51.6704 -40.81
J2156+2618 -17.7409 36.1396
J2157+4017 -8.7121 48.4568
J2158-27 -37.7995 -13.6886
J2202+21 -18.5081 31.4579
J2203+50 1.6905 55.8699
J2204+2700 -15.2853 35.9844
J2205+1444 -20.9344 24.7131
J2205+6012 16.2381 62.9853
J2206+6151 19.2543 63.9435
J2207-15 -31.549 -3.1874
J2208+4056 -5.5394 47.9161
J2208+4610 -0.9737 52.257
J2208+5500 8.9258 59.1304
J2209+22 -16.8772 30.286
J2210+57 12.9172 60.6401
J2212+2450 -14.5044 33.2777
J2212+2933 -12.0039 37.5229
J2213+53 7.3327 57.1911
J2214+3000 -11.1909 37.7132
J2215+1538 -18.0121 24.5708
J2215+4524 0.0344 50.9016
J2215+5135 6.2234 55.866
J2216+5759 14.629 60.5041
J2217+5733 14.3181 60.0186
J2219+4754 3.285 52.5411
J2221+81 68.352 68.7491
J2222+2923 -9.4943 36.3453
J2222+5602 12.9506 58.5251
J2222-0137 -23.2681 7.9771
J2225+35 -5.4015 41.5648
J2225+6535 29.1015 64.3045
J2227+3038 -7.6761 36.9931
J2228+6447 27.9436 63.6152
J2228-65 -52.907 -50.1607
J2229+2643 -9.3044 33.2902
J2229+6114 21.8664 61.4291
J2229+6205 23.3611 61.9164
J2234+0611 -17.3948 14.0794
J2234+0944 -15.881 17.3186
J2234+2114 -10.822 27.8282
J2235+1506 -13.4042 22.1643
J2236-5527 -44.0222 -42.5139
J2237+2828 -6.549 34.1009
J2238+5903 20.1562 59.1113
J2238+6021 21.9497 60.0274
J2240+5832 19.8232 58.5433
J2241+6941 39.1473 65.0856
J2241-5236 -41.3036 -40.3934
J2242+6950 39.6093 65.0301
J2243+1518 -11.5509 21.6195
J2244+63 27.0102 61.1963
J2248-0101 -16.8904 6.0656
J2251+24 -5.679 28.7464
J2251-3711 -30.857 -27.4952
J2253+12 -10.4139 18.1199
J2253+1516 -9.1822 20.6063
J2256-1024 -18.5181 -3.4099
J2257+5909 23.5876 57.3774
J2257-16 -20.6698 -8.5749
J2301+5852 23.761 56.8938
J2302+4442 9.7804 45.6654
J2302+6028 26.0394 57.9097
J2305+3100 1.4564 33.5166
J2305+4707 12.4153 47.3638
J2306+31 1.7222 33.8331
J2307+2225 -2.5514 25.6756
J2308+5547 21.2845 53.9844
J2310+6706 37.3837 61.4356
J2310-0555 -13.7794 -0.5318
J2312+6931 41.8523 62.6271
J2313+4253 10.597 43.1232
J2315+58 25.0114 55.004
J2316+75 54.7027 65.2729
J2317+1439 -3.8706 17.6802
J2317+2149 -0.4661 24.1117
J2319+6411 33.8997 58.9082
J2321+6024 29.0905 56.1297
J2322+2057 0.136 22.8784
J2322-2650 -19.5569 -20.8969
J2323+1214 -3.4654 14.8534
J2324-6054 -40.9205 -50.5157
J2325+6316 33.39 57.8386
J2325-0530 -10.148 -1.6225
J2326+6113 30.9142 56.2732
J2326+6141 30.4751 56.1967
J2327+62 31.9189 56.8126
J2329+16 0.0472 18.5069
J2329+4743 17.6798 45.5916
J2330-2005 -14.8787 -15.494
J2333+20 2.2665 21.2327
J2333+6145 32.5512 56.1115
J2336-01 -6.1028 0.6247
J2337+6151 33.2309 55.8616
J2338+4818 19.8351 45.2643
J2339-0533 -6.8718 -3.0749
J2340+08 -0.9871 9.7532
J2343+6221 34.7288 55.7291
J2346-0609 -5.4713 -4.3508
J2347+02 -2.1868 3.1274
J2350+31 11.7579 29.6807
J2351+8533 78.8764 66.3376
J2352+65 39.4037 56.8653
J2354+6155 35.846 54.5275
J2354-22 -10.7623 -20.3401
J2355+0051 -0.6116 1.1945
J2355+1523 5.2975 14.5055
J2355+2246 8.5481 21.2101
