PSRJ lambda beta
J1035-6345 -153.0229 -62.4512
J1035-6720 -146.3101 -64.4096
J1036-4926 -171.6691 -52.1379
J1036-6559 -148.8193 -63.6194
J1036-8317 -106.9883 -68.0822
J1038+0032 160.9642 -7.46
J1038-5831 -160.6206 -58.7533
J1041-1942 170.0476 -25.7823
J1042-5521 -164.0541 -56.1251
J1043-6116 -155.6946 -60.1014
J1044-5737 -160.7373 -57.5344
J1045-0436 164.2479 -11.0433
J1045-4509 -173.4815 -47.7148
J1046+0304 161.9314 -4.3436
J1046-5813 -159.6235 -57.8012
J1047-3032 176.8297 -34.9917
J1047-6709 -145.2575 -63.3309
J1048+2339 154.4516 14.8788
J1048+5349 138.9879 41.9304
J1048-5832 -158.8884 -57.8383
J1048-5838 -158.7512 -57.9118
J1049+5822 135.9184 45.9026
J1049-5833 -158.5729 -57.7073
J1050-5953 -156.717 -58.6036
J1052-5954 -156.2707 -58.3899
J1052-6348 -150.4082 -60.9194
J1054-5943 -156.151 -58.0459
J1054-5946 -156.1513 -58.1251
J1054-6452 -148.4744 -61.4677
J1055-6022 -155.1024 -58.4236
J1055-6028 -154.9933 -58.5031
J1055-6236 -151.8359 -59.9006
J1055-6905 -140.6809 -63.6795
J1056-5709 -159.163 -56.0631
J1056-6258 -151.1993 -60.0916
J1056-7117 -136.125 -64.6601
J1057-4754 -168.5673 -48.7895
J1057-5226 -164.2267 -52.391
J1057-5851 -156.9443 -57.2378
J1057-7914 -117.5512 -67.1264
J1058-5957 -155.2336 -57.8847
J1059+6459 131.4687 51.9583
J1059-5742 -158.0897 -56.2465
J1101-6101 -153.2553 -58.3325
J1101-6424 -148.2248 -60.5498
J1102+02 165.8762 -3.8713
J1103-5403 -161.4705 -53.1072
J1103-6025 -153.8012 -57.7627
J1104-6103 -152.8253 -58.1235
J1105+02 166.5055 -3.0867
J1105-4353 -170.2991 -44.7203
J1105-6037 -153.3013 -57.7648
J1105-6107 -152.5366 -58.0761
J1106-6438 -147.1871 -60.2908
J1107-5907 -154.855 -56.4839
J1107-5947 -153.937 -56.9171
J1107-6143 -151.424 -58.3299
J1110+58 138.8763 47.8762
J1110-5637 -157.4551 -54.4433
J1111-6039 -152.1787 -57.1885
J1112-6103 -151.575 -57.4286
J1112-6613 -143.8732 -60.749
J1112-6926 -138.2664 -62.5722
J1114-6100 -151.3105 -57.208
J1115+5030 146.1139 41.2482
J1115-0956 173.7513 -13.5428
J1115-6052 -151.2557 -56.9803
J1116-2444 -179.4265 -26.8994
J1116-4122 -169.7177 -41.4924
J1117-6154 -149.6433 -57.5652
J1117-6447 -145.4414 -59.4522
J1119-6127 -149.9587 -57.1022
J1119-7936 -116.1137 -66.2045
J1120-24 -178.9655 -25.8665
J1120-3618 -172.2132 -36.7721
J1121-5444 -157.4962 -51.9703
J1122-3546 -172.1999 -36.1234
J1123-4844 -162.7268 -47.0176
J1123-6102 -149.8353 -56.4193
J1123-6259 -147.2036 -57.7475
J1123-6651 -141.4529 -60.2534
J1124-3653 -171.0766 -36.9037
J1124-5638 -154.8282 -53.0991
J1124-5916 -151.872 -55.0743
J1124-6421 -145.1213 -58.5721
J1125+7819 115.6293 62.452
J1125-5825 -152.6958 -54.3553
J1125-6014 -150.496 -55.6591
J1126-2737 -175.7991 -28.5151
J1126-38 -169.4912 -38.1951
J1126-6054 -149.5023 -56.0586
J1126-6942 -136.4196 -61.7269
J1128-6219 -147.3973 -56.8845
J1129-53 -157.2516 -50.2838
J1130+09 169.6263 5.7008
J1130-5826 -151.9316 -53.9655
J1130-5925 -150.7962 -54.7047
J1130-6807 -138.6408 -60.5079
J1132+25 163.3956 20.4153
J1132-4700 -162.3492 -44.7396
J1132-5627 -153.7634 -52.3016
J1133-6250 -145.9598 -56.828
J1135-49 -159.6763 -46.3858
J1135-6055 -148.2108 -55.3666
J1136+1551 168.151 12.1653
J1136-5525 -154.1779 -51.1642
J1136-6527 -142.0121 -58.3804
J1137+7528 121.4592 61.419
J1137-6700 -139.575 -59.2952
J1138-6207 -146.2254 -55.9569
J1139-6247 -145.3016 -56.3614
J1141-3107 -170.5455 -30.1259
J1141-3322 -169.2681 -32.0883
J1141-6545 -140.9755 -58.212
J1142+0119 175.5354 -0.4878
J1142-6230 -145.0999 -55.8464
J1143-5158 -156.1107 -47.7874
J1143-5536 -152.7509 -50.6722
J1144-6146 -145.7414 -55.1927
J1144-6217 -145.1924 -55.6032
J1146-6030 -147.007 -54.1456
J1146-6610 -139.6248 -58.0448
J1148-5725 -150.0115 -51.6168
J1148-6415 -142.0288 -56.6164
J1151-6108 -145.398 -54.1217
J1152-5800 -148.7921 -51.7531
J1152-6012 -146.3122 -53.3532
J1153-2117 -172.7634 -20.1586
J1154-19 -173.5536 -17.9718
J1154-6250 -143.032 -55.1611
J1156-1318 -175.3764 -12.5174
J1156-5707 -149.0427 -50.727
J1156-5909 -146.9138 -52.2733
J1157-5112 -154.1923 -45.9142
J1157-6224 -143.1157 -54.6258
J1159-6409 -140.6812 -55.7176
J1159-7910 -115.7055 -64.3252
J1201-6306 -141.6851 -54.8097
J1202-5820 -146.7726 -51.1427
J1203-6242 -141.9477 -54.3805
J1204-6843 -133.8754 -58.4332
J1207-4508 -156.7715 -39.8912
J1207-5050 -152.6036 -44.6975
J1208-6238 -141.271 -53.9244
J1210-5226 -150.8426 -45.7845
J1210-5559 -147.7721 -48.6497
J1210-6322 -140.0554 -54.2713
J1210-6550 -137.0661 -56.0455
J1211-6324 -139.9211 -54.2532
J1214-5830 -144.7315 -50.3117
J1215-5328 -149.1031 -46.203
J1216-50 -151.259 -43.5834
J1216-6223 -140.3126 -53.097
J1216-6410 -138.3821 -54.4521
J1220-6318 -138.7842 -53.5084
J1221-0633 -172.4834 -3.9
J1222-5738 -144.1427 -48.9186
J1223-5856 -142.7922 -49.8932
J1224-6208 -139.4195 -52.2933
J1224-6407 -137.295 -53.8164
J1225-5556 -145.1742 -47.3226
J1225-6035 -140.9041 -51.042
J1225-6408 -137.0955 -53.7286
J1226+0005 -174.015 2.6924
J1226-3223 -160.1152 -26.887
J1227-4853 -150.2353 -41.2605
J1227-6208 -139.088 -52.1229
J1227-63 -137.9897 -52.8728
J1231-1411 -167.2002 -9.9435
J1231-4609 -151.3548 -38.5888
J1231-5113 -148.017 -42.9685
J1231-6303 -137.5228 -52.505
J1231-6511 -135.0889 -54.0781
J1232-4742 -150.2306 -39.8765
J1232-6501 -135.2178 -53.9052
J1233-6312 -137.0336 -52.4531
J1233-6344 -136.436 -52.8544
J1234-3630 -156.4568 -29.8912
J1235-54 -144.3844 -45.7281
J1235-6354 -135.9455 -52.8109
J1236-0159 -170.9403 1.7457
J1236-5033 -147.4091 -41.9098
J1237-6725 -131.7368 -55.3218
J1238+2152 179.6102 23.7847
J1239+2453 178.4542 26.641
J1239+32 174.5988 32.9099
J1239-48 -148.7882 -39.5497
J1239-6832 -130.0591 -55.9578
J1240-4124 -152.555 -33.6926
J1242+39 170.7516 39.9268
J1243+17 -177.4991 20.616
J1243-5735 -140.826 -47.2494
J1243-6423 -134.4258 -52.6614
J1244-1812 -162.5969 -12.3472
J1244-5053 -145.8766 -41.5914
J1244-6359 -134.6325 -52.2541
J1244-6531 -133.0237 -53.4276
J1245-6238 -135.9238 -51.1678
J1246+2253 -178.9379 25.5495
J1248-6344 -134.3494 -51.7752
J1248-6444 -133.3492 -52.5619
J1249-6507 -132.7563 -52.7683
J1251-7407 -121.2759 -59.0976
J1252+53 161.0202 52.4102
J1252-6314 -134.2909 -51.1154
J1253-5820 -138.614 -47.1144
J1254-6150 -135.3619 -49.8799
J1255-46 -147.0338 -36.4631
J1255-6131 -135.4628 -49.5196
J1255-62 -134.3525 -50.5858
J1257-1027 -162.8257 -4.0148
J1259-6741 -128.7435 -54.1107
J1300+1240 -171.2779 17.5758
J1300-6602 -130.4036 -52.7774
J1301+0833 -169.2018 13.9558
J1301-6305 -133.1546 -50.3745
J1301-6310 -133.1154 -50.4623
J1302-3258 -152.3313 -24.1827
J1302-63 -132.4877 -50.876
J1302-6313 -132.9512 -50.4421
J1302-6350 -132.3022 -50.8969
J1303+38 176.2529 40.7541
J1303-6305 -132.9878 -50.2831
J1304+12 -169.9783 17.4194
J1305-6203 -133.5925 -49.2945
J1305-6256 -132.7671 -50.0043
J1305-6455 -130.8848 -51.5877
J1305-66 -129.0995 -52.9232
J1306-4035 -147.7175 -30.662
J1306-6242 -132.8081 -49.7219
J1306-6617 -129.3424 -52.5779
J1307-6318 -132.0826 -50.1344
J1307-67 -128.4071 -53.1088
J1308+2127 -173.1343 26.425
J1308-23 -155.4366 -14.5625
